date,store_id,product_category,units_sold,revenue,promotion_active
2025-04-26,STR_009,Toys,22,501.72,0
2025-10-16,STR_001,Clothing,65,2701.56,0
2025-04-21,STR_005,Electronics,49,6904.21,0
2025-01-28,STR_016,Home,190,16459.56,1
2025-06-14,STR_015,Toys,63,1683.71,0
2025-03-03,STR_002,Toys,68,1706.28,0
2025-11-10,STR_015,Electronics,12,1662.37,0
2025-10-11,STR_001,Clothing,49,2059.09,0
2025-09-22,STR_011,Electronics,76,11600.16,0
2025-11-22,STR_012,Clothing,74,3320.01,0
2025-04-08,STR_020,Clothing,65,2949.14,0
2025-07-20,STR_005,Toys,67,1603.08,0
2025-06-28,STR_004,Electronics,49,7804.9,0
2025-08-06,STR_003,Clothing,56,2676.13,0
2025-03-05,STR_011,Home,84,6560.32,1
2025-05-22,STR_010,Toys,34,905.59,0
2025-10-05,STR_003,Clothing,99,4260.41,0
2025-03-12,STR_017,Electronics,92,14259.54,1
2025-06-09,STR_012,Toys,98,2214.14,0
2025-09-28,STR_017,Electronics,65,9747.46,0
2025-05-07,STR_003,Toys,61,1664.67,0
2025-05-21,STR_014,Food,166,1318.7,1
2025-07-21,STR_008,Toys,27,642.21,0
2025-07-18,STR_002,Electronics,19,2713.76,0
2025-06-08,STR_004,Home,58,4589.88,1
2025-04-23,STR_003,Electronics,71,10214.81,0
2025-09-02,STR_018,Food,25,201.64,0
2025-07-27,STR_009,Home,24,1874.48,0
2025-03-16,STR_020,Food,75,651.54,0
2025-01-20,STR_017,Electronics,26,3944.43,1
2025-10-10,STR_002,Toys,116,2705.66,1
2025-05-14,STR_011,Toys,93,2356.28,0
2025-12-11,STR_017,Toys,45,1136.45,0
2025-03-13,STR_005,Home,85,7409.34,0
2025-06-13,STR_002,Food,93,818.66,0
2025-07-24,STR_006,Home,92,7975.26,0
2025-10-17,STR_002,Food,58,463.6,0
2025-05-28,STR_012,Food,85,710.18,0
2025-06-12,STR_010,Food,62,526.65,0
2025-06-19,STR_007,Clothing,60,2653.0,0
2025-12-21,STR_005,Food,96,783.51,0
2025-05-05,STR_002,Electronics,22,3175.58,0
2025-02-10,STR_012,Electronics,50,6859.94,0
2025-05-20,STR_016,Food,37,322.94,0
2025-07-21,STR_006,Clothing,160,7124.96,1
2025-02-15,STR_012,Food,120,982.73,1
2025-04-04,STR_012,Clothing,39,1886.52,0
2025-05-13,STR_016,Food,35,280.84,0
2025-03-21,STR_002,Electronics,34,4632.71,0
2025-04-23,STR_002,Home,20,1619.24,0
2025-02-11,STR_001,Electronics,68,10743.2,0
2025-07-21,STR_003,Clothing,21,869.67,0
2025-01-18,STR_018,Electronics,100,13532.66,0
2025-10-09,STR_006,Home,69,5229.12,0
2025-05-11,STR_007,Electronics,132,19490.88,1
2025-11-29,STR_001,Toys,60,1610.51,0
2025-10-19,STR_013,Food,31,263.1,0
2025-12-16,STR_018,Toys,76,2031.15,0
2025-02-07,STR_019,Clothing,104,4797.72,1
2025-07-11,STR_018,Toys,15,375.03,0
2025-04-11,STR_010,Toys,52,1248.03,0
2025-02-20,STR_019,Food,54,493.07,0
2025-08-23,STR_002,Electronics,58,8921.68,0
2025-06-03,STR_005,Home,48,4105.42,1
2025-09-07,STR_013,Home,78,6785.78,0
2025-08-02,STR_016,Home,88,6692.35,0
2025-05-08,STR_011,Home,29,2165.05,0
2025-09-17,STR_013,Electronics,93,12585.37,0
2025-11-07,STR_005,Home,93,8122.02,0
2025-09-18,STR_003,Food,188,1698.57,1
2025-11-23,STR_009,Clothing,50,2041.78,0
2025-03-16,STR_002,Clothing,29,1176.64,0
2025-04-29,STR_002,Toys,56,1522.85,0
2025-05-18,STR_010,Toys,84,2011.26,0
2025-05-10,STR_004,Home,108,8576.01,1
2025-06-13,STR_013,Electronics,60,9042.84,0
2025-02-19,STR_002,Toys,46,1255.25,0
2025-07-02,STR_005,Home,19,1565.77,0
2025-07-07,STR_010,Food,55,511.47,0
2025-08-26,STR_016,Food,50,437.65,0
2025-05-16,STR_011,Food,26,237.31,0
2025-07-26,STR_015,Electronics,73,10527.79,0
2025-11-23,STR_002,Home,29,2518.72,0
2025-12-08,STR_003,Home,198,16699.89,1
2025-09-03,STR_019,Food,14,114.72,0
2025-04-11,STR_008,Home,37,3149.36,0
2025-09-25,STR_013,Food,40,360.03,0
2025-04-03,STR_003,Toys,63,1616.42,0
2025-05-02,STR_014,Food,39,346.4,0
2025-04-20,STR_007,Toys,34,832.88,0
2025-04-30,STR_015,Toys,51,1266.19,0
2025-11-14,STR_017,Food,75,625.23,0
2025-06-06,STR_014,Clothing,12,553.09,0
2025-07-23,STR_019,Toys,93,2484.07,0
2025-09-23,STR_020,Electronics,22,3333.01,0
2025-02-02,STR_010,Food,196,1671.28,1
2025-04-01,STR_009,Electronics,81,11888.59,0
2025-08-06,STR_014,Home,26,2271.35,0
2025-08-23,STR_016,Electronics,34,5368.38,0
2025-10-17,STR_015,Home,22,1745.12,1
2026-01-01,STR_020,Toys,62,1641.81,1
2025-09-06,STR_005,Food,91,844.78,0
2025-06-24,STR_001,Toys,39,1019.16,0
2025-11-30,STR_009,Home,158,12259.73,1
2025-06-14,STR_002,Home,78,5992.05,0
2025-06-16,STR_019,Toys,160,4169.22,1
2025-08-21,STR_011,Clothing,32,1429.89,0
2025-12-15,STR_003,Food,73,616.26,0
2025-09-26,STR_006,Electronics,51,8011.5,0
2025-02-27,STR_017,Electronics,47,7486.42,0
2025-09-15,STR_017,Food,61,506.18,0
2025-11-04,STR_006,Toys,128,3478.06,1
2025-07-29,STR_017,Clothing,36,1531.24,0
2025-10-07,STR_012,Electronics,14,2129.64,0
2025-06-02,STR_012,Clothing,176,7942.95,1
2025-12-08,STR_005,Home,72,5715.59,0
2025-07-17,STR_020,Food,40,349.01,0
2025-04-05,STR_018,Electronics,180,28683.87,1
2025-04-02,STR_011,Electronics,80,12082.88,0
2025-11-28,STR_004,Toys,20,537.71,0
2025-01-13,STR_014,Electronics,57,9074.07,0
2025-07-29,STR_009,Toys,29,701.24,0
2025-08-21,STR_015,Food,32,262.31,1
2025-05-28,STR_011,Home,59,5066.01,0
2025-12-15,STR_016,Clothing,68,3318.26,0
2025-02-11,STR_007,Electronics,44,6503.18,0
2025-07-13,STR_007,Food,80,658.55,0
2025-08-25,STR_014,Food,12,99.35,0
2025-10-20,STR_010,Clothing,32,1575.92,1
2025-09-14,STR_013,Clothing,33,1564.39,0
2025-11-13,STR_008,Food,12,97.87,0
2025-01-10,STR_008,Home,196,15216.36,1
2025-07-19,STR_019,Home,22,1725.82,1
2025-12-26,STR_007,Clothing,12,592.04,0
2025-05-02,STR_012,Food,188,1541.73,1
2025-01-07,STR_012,Electronics,150,20777.83,1
2025-12-02,STR_016,Food,47,433.52,0
2026-01-01,STR_003,Home,18,1544.66,0
2025-11-05,STR_016,Food,38,331.71,1
2025-11-12,STR_014,Food,63,578.82,0
2025-02-24,STR_018,Electronics,15,2469.58,0
2025-02-09,STR_003,Home,124,10770.56,1
2025-04-26,STR_011,Food,72,653.61,0
2025-09-15,STR_002,Toys,84,2195.24,1
2025-05-30,STR_018,Clothing,10,422.02,0
2025-03-30,STR_017,Food,44,389.79,1
2025-10-27,STR_017,Electronics,78,11242.74,0
2025-08-30,STR_009,Clothing,59,2571.53,0
2025-09-29,STR_005,Electronics,76,11319.45,1
2025-07-28,STR_016,Home,50,3614.64,1
2025-12-16,STR_009,Electronics,47,7158.93,0
2025-05-01,STR_019,Clothing,56,2667.17,0
2025-10-16,STR_019,Toys,120,3026.62,1
2025-06-20,STR_004,Food,95,758.29,0
2025-12-11,STR_010,Food,96,863.36,0
2025-04-22,STR_007,Food,13,119.64,0
2025-07-18,STR_017,Toys,65,1473.33,0
2025-07-15,STR_002,Electronics,68,10105.43,0
2025-01-02,STR_012,Clothing,84,3643.29,0
2025-04-23,STR_014,Home,33,2694.92,0
2025-03-20,STR_012,Food,15,117.48,0
2025-04-20,STR_002,Electronics,51,7533.96,0
2025-09-13,STR_011,Toys,28,739.39,0
2025-11-26,STR_018,Home,55,4623.64,0
2025-10-09,STR_008,Clothing,128,5402.48,1
2025-09-21,STR_020,Food,69,588.4,0
2025-05-12,STR_012,Food,26,237.92,1
2025-02-20,STR_005,Electronics,90,13260.01,1
2025-01-21,STR_007,Food,42,352.67,1
2025-10-10,STR_001,Food,23,176.25,0
2025-09-28,STR_020,Home,59,4585.21,0
2025-06-25,STR_013,Electronics,49,6689.86,0
2025-01-07,STR_004,Clothing,30,1364.09,0
2025-11-02,STR_019,Toys,98,2544.52,1
2025-05-08,STR_017,Toys,49,1318.65,0
2025-08-08,STR_005,Food,71,583.51,0
2025-01-27,STR_015,Electronics,59,9440.86,0
2025-12-06,STR_020,Food,136,1063.94,1
2025-10-21,STR_002,Home,192,14053.61,1
2025-10-21,STR_020,Toys,13,329.33,0
2025-09-05,STR_002,Toys,60,1557.21,1
2025-11-03,STR_011,Toys,61,1640.84,0
2025-03-01,STR_004,Electronics,37,5340.52,0
2025-08-21,STR_001,Home,162,11929.03,1
2025-06-23,STR_017,Toys,82,2023.96,0
2026-01-01,STR_012,Toys,25,647.06,0
2025-04-26,STR_002,Home,88,7061.48,0
2025-01-08,STR_019,Electronics,128,18392.34,1
2025-08-15,STR_010,Electronics,31,4820.38,0
2025-06-13,STR_005,Home,14,1134.16,0
2025-01-26,STR_003,Electronics,15,2436.42,0
2025-12-08,STR_014,Toys,93,2517.74,0
2025-03-27,STR_016,Electronics,14,2036.13,0
2025-02-07,STR_017,Toys,44,1077.02,1
2025-09-11,STR_014,Clothing,46,2070.69,0
2025-09-08,STR_006,Electronics,43,6151.04,0
2025-02-20,STR_003,Toys,48,1173.38,1
2025-11-09,STR_014,Food,79,675.56,0
2025-01-21,STR_002,Toys,58,1364.76,0
2025-11-02,STR_003,Electronics,36,5933.68,0
2025-12-18,STR_006,Toys,80,2089.92,0
2025-04-13,STR_020,Toys,98,2590.09,0
2025-06-10,STR_008,Electronics,100,13583.8,1
2025-05-11,STR_012,Food,81,710.45,0
2025-03-30,STR_018,Toys,11,254.22,0
2025-10-31,STR_009,Food,71,552.8,0
2025-05-11,STR_012,Clothing,64,2870.48,0
2025-08-31,STR_001,Food,90,766.65,0
2025-04-11,STR_009,Food,83,773.13,0
2025-03-27,STR_011,Home,66,4798.97,1
2025-11-17,STR_018,Home,12,880.77,0
2025-01-04,STR_018,Food,36,277.33,0
2025-10-11,STR_020,Home,66,4911.59,0
2025-05-24,STR_001,Clothing,84,3616.46,0
2025-10-20,STR_012,Toys,31,720.31,0
2025-07-24,STR_013,Home,59,5067.99,0
2025-12-31,STR_005,Electronics,92,15053.06,0
2025-02-20,STR_011,Electronics,48,6869.25,0
2025-08-04,STR_005,Clothing,31,1326.68,0
2025-01-19,STR_014,Food,38,340.19,0
2025-03-26,STR_004,Clothing,72,3192.15,1
2025-06-04,STR_014,Toys,34,923.87,0
2025-12-02,STR_008,Toys,138,3539.16,1
2025-05-13,STR_006,Electronics,17,2766.3,0
2025-02-03,STR_016,Food,22,178.91,1
2025-07-18,STR_001,Food,40,349.86,1
2025-10-26,STR_018,Food,87,706.48,0
2025-06-11,STR_006,Electronics,97,15726.72,0
2025-05-17,STR_004,Home,49,4128.41,0
2025-11-15,STR_016,Clothing,32,1495.93,0
2025-11-05,STR_006,Food,24,189.6,0
2025-09-08,STR_003,Food,38,312.21,0
2025-03-04,STR_019,Clothing,62,2527.06,1
2025-08-03,STR_002,Electronics,55,7811.59,0
2025-08-22,STR_003,Toys,51,1356.44,0
2025-11-05,STR_009,Clothing,86,3992.87,1
2025-02-27,STR_015,Clothing,85,3870.29,0
2025-02-02,STR_010,Home,17,1394.97,0
2025-05-26,STR_011,Electronics,20,2748.13,0
2025-02-18,STR_019,Clothing,77,3789.87,0
2025-05-17,STR_009,Clothing,140,5960.18,1
2025-11-22,STR_020,Food,59,486.58,0
2025-11-06,STR_007,Toys,22,568.04,0
2025-11-08,STR_014,Home,39,3293.93,0
2025-03-12,STR_001,Clothing,57,2538.28,0
2025-01-25,STR_011,Electronics,168,27142.85,1
2025-02-22,STR_004,Clothing,24,1039.63,1
2025-05-25,STR_015,Clothing,65,3097.15,0
2025-05-18,STR_005,Electronics,86,12774.1,0
2025-06-23,STR_009,Clothing,36,1734.19,0
2025-03-20,STR_020,Clothing,164,7212.69,1
2025-07-27,STR_002,Toys,77,1985.21,0
2025-03-02,STR_004,Home,19,1411.39,0
2025-09-04,STR_006,Electronics,54,8842.94,0
2025-09-24,STR_006,Home,50,3882.05,0
2025-01-23,STR_017,Electronics,48,6728.94,0
2025-11-05,STR_017,Food,93,762.09,0
2025-10-23,STR_011,Toys,24,582.0,0
2025-12-03,STR_010,Toys,22,529.47,0
2025-06-21,STR_012,Electronics,102,13950.16,1
2025-01-31,STR_013,Toys,77,2016.2,0
2025-11-13,STR_012,Toys,32,809.47,0
2025-01-27,STR_007,Food,87,713.44,0
2025-04-03,STR_013,Home,41,2974.18,0
2025-01-05,STR_008,Food,63,487.32,0
2025-03-28,STR_009,Home,39,3431.16,0
2025-08-06,STR_009,Electronics,80,12801.74,1
2025-12-31,STR_019,Clothing,11,517.5,0
2025-11-27,STR_005,Home,15,1094.52,0
2025-04-10,STR_013,Toys,83,1869.15,0
2025-05-05,STR_017,Toys,162,4288.43,1
2025-08-22,STR_013,Home,76,6424.51,0
2025-12-30,STR_009,Home,67,5764.46,0
2025-03-31,STR_005,Food,100,828.78,0
2025-11-26,STR_018,Clothing,44,1911.28,0
2025-01-05,STR_014,Home,138,10672.66,1
2025-06-05,STR_013,Home,126,10884.58,1
2025-09-17,STR_006,Food,97,884.41,0
2025-04-04,STR_020,Food,48,436.69,0
2025-04-25,STR_007,Clothing,97,4299.21,0
2025-04-02,STR_002,Toys,71,1874.77,0
2025-04-27,STR_017,Home,25,1885.64,0
2025-07-12,STR_011,Toys,61,1524.56,0
2025-07-19,STR_010,Clothing,66,2806.99,0
2025-02-07,STR_004,Electronics,13,1767.39,0
2025-01-14,STR_013,Toys,118,3081.7,1
2025-01-27,STR_013,Electronics,148,22659.69,1
2025-09-02,STR_014,Food,44,396.82,1
2025-04-16,STR_007,Electronics,98,13375.84,0
2025-07-21,STR_004,Toys,74,1691.31,0
2025-02-27,STR_020,Toys,11,287.78,0
2025-05-21,STR_014,Clothing,48,2364.64,1
2025-01-21,STR_020,Electronics,32,4851.37,0
2025-12-26,STR_006,Clothing,24,1054.54,0
2025-12-17,STR_013,Home,30,2212.93,0
2025-01-27,STR_016,Electronics,14,2198.22,0
2025-01-12,STR_001,Food,60,540.31,0
2025-09-08,STR_003,Toys,50,1245.43,0
2025-07-16,STR_011,Home,61,4940.43,0
2025-09-02,STR_006,Clothing,138,6294.24,1
2025-06-17,STR_001,Clothing,89,4193.53,0
2025-11-15,STR_017,Food,21,186.06,0
2025-06-06,STR_007,Food,158,1272.64,1
2025-12-08,STR_008,Food,75,680.15,0
2025-10-23,STR_018,Toys,134,3309.12,1
2025-07-03,STR_016,Electronics,81,13285.01,0
2025-11-05,STR_006,Food,37,297.85,0
2025-01-09,STR_019,Home,46,3586.28,0
2025-02-20,STR_019,Home,42,3401.9,0
2025-06-20,STR_012,Clothing,63,2853.34,0
2025-11-09,STR_002,Clothing,28,1232.12,0
2025-09-04,STR_008,Food,59,467.5,0
2025-09-29,STR_001,Clothing,29,1216.03,0
2025-05-09,STR_019,Food,27,215.86,0
2025-08-26,STR_014,Toys,23,592.11,0
2025-05-22,STR_005,Electronics,77,11779.56,0
2025-05-10,STR_005,Electronics,36,5530.29,0
2025-11-29,STR_004,Home,180,14573.66,1
2025-02-14,STR_007,Toys,91,2128.17,0
2025-03-01,STR_007,Home,108,9371.88,1
2025-12-20,STR_014,Toys,38,909.84,0
2025-01-15,STR_007,Home,44,3210.53,0
2025-08-19,STR_011,Clothing,100,4266.2,0
2025-08-17,STR_002,Toys,58,1489.54,0
2025-08-04,STR_020,Home,93,8146.78,0
2025-05-20,STR_011,Toys,76,1737.5,0
2025-09-18,STR_007,Electronics,46,6248.59,0
2025-11-09,STR_008,Food,190,1757.24,1
2025-11-28,STR_016,Food,80,691.24,0
2025-11-30,STR_005,Food,23,190.31,0
2025-12-12,STR_001,Toys,89,2237.3,0
2025-09-23,STR_005,Electronics,106,15837.56,1
2025-01-22,STR_013,Electronics,24,3634.47,0
2025-01-14,STR_010,Home,51,4310.57,0
2025-03-07,STR_016,Home,34,2922.12,0
2025-10-14,STR_003,Toys,51,1218.22,0
2025-06-18,STR_014,Electronics,70,10474.84,0
2025-03-15,STR_018,Clothing,56,2352.1,0
2025-09-30,STR_007,Electronics,61,9831.0,0
2025-11-30,STR_003,Clothing,56,2732.32,0
2025-08-07,STR_008,Toys,72,1730.0,0
2025-07-03,STR_011,Clothing,30,1310.24,0
2025-05-29,STR_016,Food,15,117.52,0
2025-05-12,STR_011,Electronics,92,13726.05,0
2025-10-09,STR_011,Home,26,2219.05,0
2025-06-18,STR_011,Toys,30,699.74,1
2025-10-16,STR_004,Food,97,863.64,0
2025-07-19,STR_011,Toys,77,1806.04,0
2025-11-12,STR_017,Toys,30,790.32,0
2025-08-10,STR_001,Electronics,152,23723.45,1
2025-09-02,STR_016,Toys,40,1082.91,1
2025-01-01,STR_002,Clothing,57,2560.21,0
2025-05-29,STR_013,Food,37,313.74,0
2025-10-01,STR_009,Home,69,5683.72,0
2025-03-25,STR_019,Electronics,96,15478.83,0
2025-02-08,STR_013,Clothing,162,7029.61,1
2025-05-15,STR_013,Home,79,5717.23,0
2025-12-22,STR_011,Food,99,796.89,0
2025-08-03,STR_006,Food,83,638.99,0
2025-09-13,STR_015,Home,51,4252.27,0
2025-08-10,STR_001,Home,18,1300.92,0
2025-06-15,STR_010,Toys,88,2380.93,0
2025-10-28,STR_009,Clothing,80,3871.53,0
2025-10-27,STR_002,Food,83,638.94,0
2025-07-14,STR_009,Electronics,12,1956.76,0
2025-06-08,STR_009,Home,152,12414.57,1
2025-10-04,STR_007,Food,94,797.22,1
2025-10-02,STR_008,Food,13,106.13,0
2025-08-23,STR_009,Food,68,543.53,0
